#x               numerical u     analytic u
0.642715       0.351882       0.355698
0.643713       0.350908       0.354716
0.644711       0.349934       0.353734
0.645709       0.348959       0.352751
0.646707       0.347985       0.351769
0.647705       0.34701       0.350786
0.648703       0.346036       0.349804
0.649701       0.345061       0.348821
0.650699       0.344086       0.347838
0.651697       0.34311       0.346855
0.652695       0.342135       0.345872
0.653693       0.341159       0.344888
0.654691       0.340184       0.343905
0.655689       0.339208       0.342921
0.656687       0.338232       0.341937
0.657685       0.337256       0.340953
0.658683       0.33628       0.339969
0.659681       0.335303       0.338985
0.660679       0.334327       0.338
0.661677       0.33335       0.337016
0.662675       0.332373       0.336031
0.663673       0.331396       0.335046
0.664671       0.330419       0.334061
0.665669       0.329442       0.333076
0.666667       0.328465       0.332091
0.667665       0.327487       0.331106
0.668663       0.32651       0.33012
0.669661       0.325532       0.329135
0.670659       0.324554       0.328149
0.671657       0.323576       0.327163
0.672655       0.322598       0.326177
0.673653       0.32162       0.325191
0.674651       0.320642       0.324205
0.675649       0.319664       0.323219
0.676647       0.318685       0.322232
0.677645       0.317706       0.321246
0.678643       0.316728       0.320259
0.679641       0.315749       0.319272
0.680639       0.31477       0.318285
0.681637       0.313791       0.317299
0.682635       0.312812       0.316311
0.683633       0.311832       0.315324
0.684631       0.310853       0.314337
0.685629       0.309873       0.31335
0.686627       0.308894       0.312362
0.687625       0.307914       0.311374
0.688623       0.306934       0.310387
0.689621       0.305954       0.309399
0.690619       0.304974       0.308411
0.691617       0.303994       0.307423
0.692615       0.303014       0.306435
0.693613       0.302034       0.305447
0.694611       0.301053       0.304458
0.695609       0.300073       0.30347
0.696607       0.299092       0.302481
0.697605       0.298111       0.301493
0.698603       0.297131       0.300504
0.699601       0.29615       0.299515
0.700599       0.295169       0.298527
0.701597       0.294188       0.297538
0.702595       0.293207       0.296549
0.703593       0.292225       0.295559
0.704591       0.291244       0.29457
0.705589       0.290263       0.293581
0.706587       0.289281       0.292591
0.707585       0.2883       0.291602
0.708583       0.287318       0.290612
0.709581       0.286336       0.289623
0.710579       0.285354       0.288633
0.711577       0.284372       0.287643
0.712575       0.28339       0.286653
0.713573       0.282408       0.285663
0.714571       0.281426       0.284673
0.715569       0.280444       0.283683
0.716567       0.279462       0.282693
0.717565       0.278479       0.281703
0.718563       0.277497       0.280712
0.719561       0.276514       0.279722
0.720559       0.275532       0.278731
0.721557       0.274549       0.277741
0.722555       0.273566       0.27675
0.723553       0.272583       0.275759
0.724551       0.2716       0.274769
0.725549       0.270617       0.273778
0.726547       0.269634       0.272787
0.727545       0.268651       0.271796
0.728543       0.267668       0.270805
0.729541       0.266685       0.269814
0.730539       0.265701       0.268822
0.731537       0.264718       0.267831
0.732535       0.263735       0.26684
0.733533       0.262751       0.265848
0.734531       0.261767       0.264857
0.735529       0.260784       0.263865
0.736527       0.2598       0.262874
0.737525       0.258816       0.261882
0.738523       0.257832       0.26089
0.739521       0.256849       0.259898
0.740519       0.255865       0.258907
0.741517       0.254881       0.257915
0.742515       0.253896       0.256923
0.743513       0.252912       0.255931
0.744511       0.251928       0.254939
0.745509       0.250944       0.253946
0.746507       0.24996       0.252954
0.747505       0.248975       0.251962
0.748503       0.247991       0.25097
0.749501       0.247006       0.249977
0.750499       0.246022       0.248985
0.751497       0.245037       0.247992
0.752495       0.244052       0.247
0.753493       0.243068       0.246007
0.754491       0.242083       0.245014
0.755489       0.241098       0.244022
0.756487       0.240113       0.243029
0.757485       0.239128       0.242036
0.758483       0.238143       0.241043
0.759481       0.237158       0.24005
0.760479       0.236173       0.239057
0.761477       0.235188       0.238064
0.762475       0.234203       0.237071
0.763473       0.233218       0.236078
0.764471       0.232233       0.235085
0.765469       0.231247       0.234092
0.766467       0.230262       0.233099
0.767465       0.229276       0.232105
0.768463       0.228291       0.231112
0.769461       0.227305       0.230119
0.770459       0.22632       0.229125
0.771457       0.225334       0.228132
0.772455       0.224349       0.227138
0.773453       0.223363       0.226145
0.774451       0.222377       0.225151
0.775449       0.221392       0.224157
0.776447       0.220406       0.223164
0.777445       0.21942       0.22217
0.778443       0.218434       0.221176
0.779441       0.217448       0.220182
0.780439       0.216462       0.219188
0.781437       0.215476       0.218194
0.782435       0.21449       0.217201
0.783433       0.213504       0.216207
0.784431       0.212518       0.215212
0.785429       0.211532       0.214218
0.786427       0.210545       0.213224
0.787425       0.209559       0.21223
0.788423       0.208573       0.211236
0.789421       0.207587       0.210242
0.790419       0.2066       0.209248
0.791417       0.205614       0.208253
0.792415       0.204627       0.207259
0.793413       0.203641       0.206265
0.794411       0.202654       0.20527
0.795409       0.201668       0.204276
0.796407       0.200681       0.203281
0.797405       0.199695       0.202287
0.798403       0.198708       0.201292
0.799401       0.197721       0.200298
0.800399       0.196735       0.199303
0.801397       0.195748       0.198308
0.802395       0.194761       0.197314
0.803393       0.193774       0.196319
0.804391       0.192787       0.195324
0.805389       0.191801       0.194329
0.806387       0.190814       0.193335
0.807385       0.189827       0.19234
0.808383       0.18884       0.191345
0.809381       0.187853       0.19035
0.810379       0.186866       0.189355
0.811377       0.185879       0.18836
0.812375       0.184892       0.187365
0.813373       0.183904       0.18637
0.814371       0.182917       0.185375
0.815369       0.18193       0.18438
0.816367       0.180943       0.183385
0.817365       0.179956       0.18239
0.818363       0.178968       0.181395
0.819361       0.177981       0.1804
0.820359       0.176994       0.179404
0.821357       0.176006       0.178409
0.822355       0.175019       0.177414
0.823353       0.174032       0.176418
0.824351       0.173044       0.175423
0.825349       0.172057       0.174428
0.826347       0.171069       0.173432
0.827345       0.170082       0.172437
0.828343       0.169094       0.171442
0.829341       0.168107       0.170446
0.830339       0.167119       0.169451
0.831337       0.166132       0.168455
0.832335       0.165144       0.16746
0.833333       0.164156       0.166464
0.834331       0.163169       0.165469
0.835329       0.162181       0.164473
0.836327       0.161193       0.163477
0.837325       0.160205       0.162482
0.838323       0.159218       0.161486
0.839321       0.15823       0.16049
0.840319       0.157242       0.159495
0.841317       0.156254       0.158499
0.842315       0.155266       0.157503
0.843313       0.154278       0.156507
0.844311       0.153291       0.155512
0.845309       0.152303       0.154516
0.846307       0.151315       0.15352
0.847305       0.150327       0.152524
0.848303       0.149339       0.151528
0.849301       0.148351       0.150532
0.850299       0.147363       0.149536
0.851297       0.146375       0.14854
0.852295       0.145387       0.147544
0.853293       0.144398       0.146548
0.854291       0.14341       0.145552
0.855289       0.142422       0.144556
0.856287       0.141434       0.14356
0.857285       0.140446       0.142564
0.858283       0.139458       0.141568
0.859281       0.138469       0.140572
0.860279       0.137481       0.139576
0.861277       0.136493       0.13858
0.862275       0.135505       0.137584
0.863273       0.134516       0.136588
0.864271       0.133528       0.135591
0.865269       0.13254       0.134595
0.866267       0.131552       0.133599
0.867265       0.130563       0.132603
0.868263       0.129575       0.131606
0.869261       0.128586       0.13061
0.870259       0.127598       0.129614
0.871257       0.12661       0.128618
0.872255       0.125621       0.127621
0.873253       0.124633       0.126625
0.874251       0.123644       0.125629
0.87525       0.122656       0.124632
0.876248       0.121667       0.123636
0.877246       0.120679       0.122639
0.878244       0.11969       0.121643
0.879242       0.118702       0.120647
0.88024       0.117713       0.11965
0.881238       0.116725       0.118654
0.882236       0.115736       0.117657
0.883234       0.114747       0.116661
0.884232       0.113759       0.115664
0.88523       0.11277       0.114668
0.886228       0.111782       0.113671
0.887226       0.110793       0.112675
0.888224       0.109804       0.111678
0.889222       0.108816       0.110681
0.89022       0.107827       0.109685
0.891218       0.106838       0.108688
0.892216       0.105849       0.107692
0.893214       0.104861       0.106695
0.894212       0.103872       0.105698
0.89521       0.102883       0.104702
0.896208       0.101894       0.103705
0.897206       0.100906       0.102708
0.898204       0.0999168       0.101712
0.899202       0.0989279       0.100715
0.9002       0.0979391       0.0997181
0.901198       0.0969503       0.0987214
0.902196       0.0959614       0.0977246
0.903194       0.0949725       0.0967279
0.904192       0.0939837       0.0957311
0.90519       0.0929948       0.0947343
0.906188       0.0920059       0.0937375
0.907186       0.091017       0.0927407
0.908184       0.090028       0.0917439
0.909182       0.0890391       0.0907471
0.91018       0.0880502       0.0897502
0.911178       0.0870612       0.0887534
0.912176       0.0860722       0.0877565
0.913174       0.0850833       0.0867596
0.914172       0.0840943       0.0857627
0.91517       0.0831053       0.0847658
0.916168       0.0821162       0.0837689
0.917166       0.0811272       0.082772
0.918164       0.0801382       0.0817751
